epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1842.65,1.20699,1.05675,1.36887,0.85266,0.84682,0.89426,0.57003,1.19735,0.84489,1.44933,0.005743,0.005743,0.005743
45,1885.04,1.19686,1.04673,1.36467,0.85677,0.84165,0.89391,0.58063,1.19483,0.80806,1.45085,0.005644,0.005644,0.005644
46,1927.47,1.19056,1.04573,1.36631,0.847,0.84854,0.89518,0.58014,1.20346,0.8203,1.46927,0.005545,0.005545,0.005545
47,1969.76,1.19136,1.04762,1.36214,0.84791,0.85401,0.89317,0.57757,1.19452,0.83456,1.47136,0.005446,0.005446,0.005446
48,2012.19,1.18459,1.03906,1.36016,0.8457,0.83649,0.8916,0.58612,1.17517,0.8284,1.44743,0.005347,0.005347,0.005347
49,2054.56,1.17109,1.01952,1.35514,0.84655,0.83649,0.88351,0.59031,1.13776,0.833,1.4131,0.005248,0.005248,0.005248
50,2097.01,1.17034,1.02817,1.35032,0.85111,0.84617,0.89875,0.59022,1.16987,0.80947,1.44882,0.005149,0.005149,0.005149
51,2139.41,1.16961,1.01657,1.34683,0.86507,0.81928,0.89862,0.5924,1.17516,0.81689,1.4356,0.00505,0.00505,0.00505
52,2181.84,1.16617,1.00757,1.34276,0.85551,0.84586,0.90247,0.59733,1.16633,0.78253,1.44269,0.004951,0.004951,0.004951
53,2224.19,1.15814,1.01203,1.33951,0.84337,0.84336,0.90079,0.59804,1.13478,0.7928,1.41863,0.004852,0.004852,0.004852
54,2266.63,1.1495,1.00281,1.33307,0.86595,0.84854,0.90586,0.59938,1.15016,0.78391,1.42186,0.004753,0.004753,0.004753
55,2308.99,1.15455,1.0052,1.34062,0.83614,0.87091,0.90455,0.59703,1.14392,0.81502,1.42968,0.004654,0.004654,0.004654
56,2351.33,1.13776,0.98779,1.33197,0.84618,0.8332,0.89504,0.59776,1.14878,0.78666,1.43123,0.004555,0.004555,0.004555
57,2393.65,1.1278,0.97673,1.32471,0.86171,0.85714,0.90026,0.60039,1.13089,0.78072,1.4091,0.004456,0.004456,0.004456
58,2436.07,1.12728,0.97484,1.31973,0.86413,0.84854,0.9156,0.61388,1.11855,0.77542,1.41322,0.004357,0.004357,0.004357
59,2478.48,1.12782,0.96137,1.32358,0.84938,0.8444,0.90332,0.60658,1.14429,0.78185,1.41866,0.004258,0.004258,0.004258
60,2520.81,1.13498,0.96242,1.31924,0.84987,0.84769,0.90179,0.60706,1.14486,0.78298,1.41861,0.004159,0.004159,0.004159
61,2563.18,1.12115,0.95381,1.31378,0.87075,0.84509,0.90715,0.6113,1.12308,0.76627,1.41047,0.00406,0.00406,0.00406
